                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.44743,                0.46426,                0.78516,                0.89329,                0.87115,                0.93067,                0.86171,                0.43317,                0.45384,                0.78324,             7.3178e-05,             7.3178e-05,             7.3178e-05
                      2,                0.45618,                0.46669,                0.78697,                 0.9198,                0.88342,                0.94333,                0.87394,                0.43082,                0.43171,                0.78172,             0.00013989,             0.00013989,             0.00013989
                      3,                0.46176,                0.47552,                0.78741,                0.91124,                0.86424,                0.93639,                0.86467,                0.44416,                0.46075,                0.78439,             0.00019928,             0.00019928,             0.00019928
                      4,                0.46515,                0.48102,                0.78673,                0.93072,                0.87347,                0.94501,                0.87368,                0.43745,                0.44179,                0.78217,             0.00018903,             0.00018903,             0.00018903
                      5,                0.46225,                0.47795,                0.78634,                0.91386,                0.87506,                0.94015,                0.86299,                0.45379,                0.44935,                0.78474,             0.00017804,             0.00017804,             0.00017804
                      6,                0.45736,                0.46077,                0.78678,                0.91833,                0.85482,                0.93325,                0.86187,                0.44059,                0.45935,                0.78255,             0.00016705,             0.00016705,             0.00016705
                      7,                0.45966,                0.45807,                0.78739,                0.92983,                0.86995,                0.94391,                0.87376,                0.44038,                0.42915,                0.78266,             0.00015607,             0.00015607,             0.00015607
                      8,                0.44784,                0.44531,                0.78541,                0.92936,                0.88359,                0.94799,                0.87732,                0.43718,                0.42168,                0.78159,             0.00014508,             0.00014508,             0.00014508
                      9,                0.44884,                0.43966,                0.78611,                0.93008,                0.87415,                0.94533,                0.87675,                0.43448,                0.43973,                0.78159,             0.00013409,             0.00013409,             0.00013409
                     10,                0.44781,                0.43772,                0.78563,                0.91502,                 0.8722,                0.94143,                0.87598,                0.41891,                0.42464,                0.78027,              0.0001231,              0.0001231,              0.0001231
                     11,                0.43379,                0.43244,                0.78459,                 0.9129,                0.87087,                 0.9351,                0.86674,                0.43433,                 0.4421,                0.78225,             0.00011211,             0.00011211,             0.00011211
                     12,                0.42188,                0.40625,                0.78191,                0.91289,                0.87031,                0.93679,                0.86941,                0.43436,                0.44513,                0.78233,             0.00010112,             0.00010112,             0.00010112
                     13,                0.40946,                0.38575,                0.78187,                0.92764,                0.86335,                0.94283,                0.87576,                0.43212,                 0.4381,                0.78236,             9.0132e-05,             9.0132e-05,             9.0132e-05
                     14,                0.40533,                0.37957,                0.78252,                0.92333,                0.87963,                0.94412,                0.87643,                0.42891,                0.41946,                0.78185,             7.9143e-05,             7.9143e-05,             7.9143e-05
                     15,                0.39907,                0.37028,                0.78186,                0.92196,                0.87798,                0.94577,                0.88005,                0.42876,                0.41857,                0.78203,             6.8154e-05,             6.8154e-05,             6.8154e-05
                     16,                0.39215,                0.36144,                0.78019,                0.93286,                0.88236,                0.94926,                0.88594,                0.42178,                0.40655,                0.78105,             5.7165e-05,             5.7165e-05,             5.7165e-05
                     17,                 0.3928,                0.35541,                0.78047,                0.91376,                0.88383,                 0.9445,                0.87945,                0.42407,                0.41621,                 0.7811,             4.6176e-05,             4.6176e-05,             4.6176e-05
                     18,                0.38856,                0.35524,                0.77944,                 0.9291,                0.87982,                0.94605,                0.88253,                0.41808,                 0.4121,                0.78049,             3.5187e-05,             3.5187e-05,             3.5187e-05
                     19,                 0.3818,                0.34553,                0.77936,                0.93518,                0.88013,                0.94741,                0.88375,                0.41969,                0.40012,                 0.7807,             2.4198e-05,             2.4198e-05,             2.4198e-05
                     20,                0.38202,                0.34236,                0.77703,                0.93575,                 0.8826,                0.94935,                0.88607,                0.41769,                0.39791,                0.78101,             1.3209e-05,             1.3209e-05,             1.3209e-05
