                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     36,                0.49003,                0.57815,                0.79159,                0.90086,                0.83188,                0.91707,                0.83749,                0.45971,                0.51005,                0.78725,             0.00012585,             0.00012585,             0.00012585
                     37,                0.48539,                0.57084,                0.78896,                0.90049,                0.83604,                0.91765,                 0.8397,                0.45844,                0.51112,                0.78638,              0.0001231,              0.0001231,              0.0001231
                     38,                0.48752,                0.56203,                0.79025,                 0.9053,                0.84517,                 0.9199,                0.84393,                0.45043,                0.48083,                0.78527,             0.00012035,             0.00012035,             0.00012035
                     39,                0.48294,                0.55701,                0.79138,                0.88824,                0.86337,                0.91996,                  0.845,                0.44864,                0.47592,                0.78615,              0.0001176,              0.0001176,              0.0001176
                     40,                0.48319,                0.55761,                0.78857,                0.90902,                 0.8434,                0.92084,                0.84645,                0.44507,                0.47994,                0.78576,             0.00011486,             0.00011486,             0.00011486
                     41,                0.47682,                 0.5437,                0.78856,                0.89939,                0.85423,                0.92387,                0.85034,                0.44494,                0.46976,                0.78609,             0.00011211,             0.00011211,             0.00011211
                     42,                0.47619,                0.53246,                0.79009,                0.88437,                0.85641,                0.92116,                0.84696,                0.44993,                0.47964,                0.78651,             0.00010936,             0.00010936,             0.00010936
                     43,                0.47355,                0.51538,                0.78946,                0.89647,                0.86831,                0.92643,                0.85433,                0.44221,                0.46658,                0.78592,             0.00010662,             0.00010662,             0.00010662
                     44,                0.47436,                0.52106,                 0.7878,                0.90706,                0.85496,                0.92468,                0.85346,                0.44274,                0.46702,                0.78514,             0.00010387,             0.00010387,             0.00010387
                     45,                0.47546,                0.51289,                0.78845,                  0.886,                0.84827,                 0.9186,                0.84733,                0.44228,                0.48464,                0.78586,             0.00010112,             0.00010112,             0.00010112
                     46,                0.47207,                0.51253,                 0.7882,                0.91117,                0.85968,                0.92736,                0.85417,                0.44472,                0.45234,                0.78521,             9.8374e-05,             9.8374e-05,             9.8374e-05
                     47,                0.47115,                0.50805,                0.78864,                0.90896,                0.85182,                 0.9248,                0.85321,                   0.44,                0.46461,                0.78633,             9.5627e-05,             9.5627e-05,             9.5627e-05
                     48,                 0.4623,                0.49684,                0.78667,                0.90297,                0.86679,                0.93029,                0.85676,                0.44113,                0.44962,                0.78511,             9.2879e-05,             9.2879e-05,             9.2879e-05
                     49,                0.46216,                0.49468,                0.78763,                0.90713,                0.84183,                0.92253,                0.85039,                0.43963,                 0.4632,                0.78505,             9.0132e-05,             9.0132e-05,             9.0132e-05
