                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.71304,                  2.761,                 1.2607,                0.80714,                0.72494,                0.82347,                0.70524,                 0.6215,                0.83486,                 1.2756,               0.003332,               0.003332,               0.003332
                      2,                0.60487,                  1.429,                 1.1368,                0.91215,                0.88476,                0.95297,                0.86409,                0.45625,                0.49644,                 1.1013,              0.0066323,              0.0066323,              0.0066323
                      3,                 0.5969,                 1.1221,                 1.1252,                0.90513,                0.90648,                0.96173,                0.85465,                0.52033,                0.47914,                 1.1692,              0.0098997,              0.0098997,              0.0098997
