                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 0.9525,                 4.7551,                0.85371,                0.02726,                0.64811,                0.04003,                0.03093,                0.80162,                 3.7995,                0.80708,             7.3063e-05,             7.3063e-05,             7.3063e-05
                      2,                0.82225,                  2.879,                0.82071,                0.16763,                 0.2197,                0.15067,                0.12498,                0.66979,                 2.2099,                0.80615,             0.00014585,             0.00014585,             0.00014585
                      3,                0.74447,                 2.1857,                0.81854,                0.22004,                0.40127,                0.27264,                0.23249,                0.62118,                 1.6016,                 0.8045,             0.00021742,             0.00021742,             0.00021742
                      4,                0.68795,                 1.7987,                0.81528,                0.31695,                0.45247,                0.36964,                0.31999,                0.58787,                 1.4995,                0.80275,             0.00021651,             0.00021651,             0.00021651
                      5,                 0.6571,                 1.5966,                0.81155,                0.41246,                0.56307,                0.47897,                0.42344,                0.54797,                 1.2525,                0.79891,             0.00021467,             0.00021467,             0.00021467
                      6,                0.62674,                 1.4544,                0.81043,                0.47207,                0.60261,                0.56572,                0.49805,                0.54886,                 1.0992,                0.79896,             0.00021284,             0.00021284,             0.00021284
                      7,                0.62195,                 1.3273,                0.80995,                0.57317,                0.59898,                0.62806,                0.56223,                0.51411,                 0.9931,                0.79674,             0.00021101,             0.00021101,             0.00021101
                      8,                0.60263,                 1.2214,                0.80735,                0.57257,                0.68047,                 0.6747,                0.60336,                0.50839,                0.94306,                0.79579,             0.00020918,             0.00020918,             0.00020918
                      9,                0.59375,                 1.1483,                0.80733,                0.67039,                0.69946,                 0.7284,                0.65328,                0.50468,                0.87785,                0.79552,             0.00020735,             0.00020735,             0.00020735
                     10,                0.58062,                 1.0653,                 0.8064,                0.73191,                0.72936,                0.77793,                 0.6992,                0.49591,                0.79341,                0.79495,             0.00020552,             0.00020552,             0.00020552
                     11,                0.57031,                 1.0042,                0.80288,                0.73637,                0.75664,                0.79265,                0.71169,                0.49762,                0.75709,                0.79417,             0.00020368,             0.00020368,             0.00020368
                     12,                0.55545,                0.93575,                0.80209,                0.78837,                0.78678,                0.83771,                0.75324,                0.48961,                0.68948,                0.79318,             0.00020185,             0.00020185,             0.00020185
                     13,                0.55811,                0.91246,                0.80082,                0.80901,                0.81355,                0.85959,                0.77674,                0.47773,                0.63837,                0.79184,             0.00020002,             0.00020002,             0.00020002
