                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 0.4575,                0.48174,                0.78688,                0.88902,                0.78025,                0.88873,                0.81176,                0.54025,                0.49019,                0.79289,             7.3129e-05,             7.3129e-05,             7.3129e-05
                      2,                0.45619,                0.46251,                0.78664,                0.91368,                 0.7754,                0.89274,                0.81439,                0.57868,                0.49193,                0.79767,             0.00014349,             0.00014349,             0.00014349
                      3,                0.45878,                 0.4655,                0.78581,                0.89842,                 0.7827,                 0.8925,                0.81469,                0.57753,                0.51214,                0.79668,             0.00021018,             0.00021018,             0.00021018
                      4,                0.45331,                 0.4655,                 0.7873,                0.87739,                0.79841,                0.88908,                0.80875,                0.61292,                0.54732,                0.80468,             0.00020552,             0.00020552,             0.00020552
                      5,                0.45439,                 0.4614,                0.78706,                0.88436,                0.78263,                0.88711,                0.80773,                0.60372,                 0.5611,                0.80207,             0.00020002,             0.00020002,             0.00020002
                      6,                0.44444,                0.44341,                0.78628,                 0.9045,                0.76911,                0.88135,                0.80201,                0.61011,                0.58056,                0.80158,             0.00019453,             0.00019453,             0.00019453
                      7,                0.44977,                0.43865,                0.78597,                0.89956,                0.78257,                0.88973,                0.81247,                0.58087,                0.54673,                0.79774,             0.00018903,             0.00018903,             0.00018903
                      8,                0.43867,                0.42957,                 0.7842,                 0.9215,                 0.7677,                0.88294,                0.80038,                0.60168,                0.56793,                0.80072,             0.00018354,             0.00018354,             0.00018354
                      9,                0.44464,                0.42829,                0.78456,                0.91945,                0.75748,                0.88178,                0.80465,                0.61274,                0.59596,                0.80276,             0.00017804,             0.00017804,             0.00017804
                     10,                0.44583,                0.43688,                 0.7855,                0.88764,                0.76687,                 0.8716,                0.79625,                0.61134,                0.62722,                0.80243,             0.00017255,             0.00017255,             0.00017255
                     11,                0.43513,                0.42455,                0.78481,                0.92746,                0.74772,                0.88124,                0.80396,                0.61193,                0.59534,                0.80212,             0.00016705,             0.00016705,             0.00016705
                     12,                0.43562,                0.42244,                0.78491,                0.90158,                0.77829,                0.88042,                0.80286,                0.62353,                0.59803,                 0.8049,             0.00016156,             0.00016156,             0.00016156
                     13,                0.43703,                0.42387,                0.78492,                0.90666,                0.77326,                0.87788,                0.80468,                0.61457,                0.62755,                0.80427,             0.00015607,             0.00015607,             0.00015607
