                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.41604,                0.39583,                0.78398,                0.94184,                0.90524,                0.96039,                0.89069,                0.41264,                0.37428,                0.78186,             7.3063e-05,             7.3063e-05,             7.3063e-05
                      2,                0.42352,                0.40039,                0.78266,                 0.9366,                0.90872,                0.96022,                0.89395,                0.39984,                0.37037,                0.78033,             0.00013978,             0.00013978,             0.00013978
                      3,                0.42892,                0.40518,                 0.7819,                0.94249,                0.90709,                0.96033,                0.88959,                 0.4139,                0.37826,                 0.7817,             0.00019918,             0.00019918,             0.00019918
                      4,                0.43341,                0.41141,                0.78414,                0.93704,                0.88999,                0.95423,                0.88462,                0.41576,                0.40215,                0.78315,             0.00018903,             0.00018903,             0.00018903
                      5,                0.43295,                0.40374,                0.78238,                0.92807,                0.88046,                 0.9529,                 0.8876,                0.40806,                0.41117,                0.78206,             0.00017804,             0.00017804,             0.00017804
                      6,                 0.4204,                0.39671,                0.78218,                0.93825,                0.90469,                0.95893,                0.89114,                0.40375,                0.37074,                0.78178,             0.00016705,             0.00016705,             0.00016705
                      7,                0.42566,                0.39848,                0.78307,                0.94602,                0.89652,                0.95725,                0.88752,                0.40993,                0.37624,                0.78186,             0.00015607,             0.00015607,             0.00015607
                      8,                0.42336,                0.39518,                0.78202,                0.94979,                0.89213,                0.96098,                0.89838,                0.39866,                0.36854,                 0.7807,             0.00014508,             0.00014508,             0.00014508
                      9,                0.42061,                0.38906,                0.78322,                0.93544,                0.91336,                0.96106,                0.89695,                0.39633,                0.36187,                0.78088,             0.00013409,             0.00013409,             0.00013409
                     10,                0.41821,                0.37927,                0.78249,                0.94987,                0.89936,                0.96234,                0.89901,                0.39595,                 0.3618,                0.78032,              0.0001231,              0.0001231,              0.0001231
                     11,                0.39521,                0.37071,                0.77832,                0.94627,                0.89135,                0.95658,                0.88898,                0.41026,                0.38261,                0.78283,             0.00011211,             0.00011211,             0.00011211
                     12,                0.38647,                 0.3534,                0.77907,                0.92785,                0.90128,                0.95496,                0.88647,                0.40856,                0.37753,                0.78273,             0.00010112,             0.00010112,             0.00010112
                     13,                0.38062,                0.34301,                0.77921,                0.93717,                0.90364,                0.96013,                0.89342,                0.40524,                0.36922,                0.78234,             9.0132e-05,             9.0132e-05,             9.0132e-05
                     14,                0.37886,                0.33799,                0.77734,                 0.9484,                0.89523,                0.95825,                0.88967,                0.41332,                0.37716,                0.78195,             7.9143e-05,             7.9143e-05,             7.9143e-05
                     15,                0.37091,                0.33068,                0.77623,                0.93967,                0.90305,                0.95802,                0.89272,                0.40249,                0.36427,                0.78185,             6.8154e-05,             6.8154e-05,             6.8154e-05
                     16,                0.37034,                0.32085,                0.77559,                0.94313,                0.88795,                0.95575,                0.89427,                 0.3958,                0.37894,                0.78126,             5.7165e-05,             5.7165e-05,             5.7165e-05
                     17,                0.36725,                0.31823,                0.77548,                0.94862,                0.89047,                 0.9572,                0.89382,                0.39514,                0.36923,                0.78056,             4.6176e-05,             4.6176e-05,             4.6176e-05
                     18,                0.36153,                0.31123,                 0.7774,                0.95039,                0.90079,                0.96055,                0.89832,                0.39669,                0.35498,                0.78063,             3.5187e-05,             3.5187e-05,             3.5187e-05
                     19,                0.35666,                 0.3026,                0.77518,                0.93761,                0.90967,                0.96008,                0.89753,                0.39477,                0.35607,                0.78043,             2.4198e-05,             2.4198e-05,             2.4198e-05
                     20,                0.35492,                0.30189,                0.77663,                0.94669,                0.90499,                0.96083,                0.89834,                0.39352,                0.35479,                0.78055,             1.3209e-05,             1.3209e-05,             1.3209e-05
