                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.74911,                 1.4865,                0.89646,                0.61961,                0.58972,                 0.6403,                0.53812,                0.61748,                 1.1691,                 0.9151,              0.0033252,              0.0033252,              0.0033252
                      2,                0.84381,                 1.5599,                0.92995,                0.62588,                0.60513,                0.62022,                0.51125,                0.67612,                 1.2858,                   0.95,              0.0066256,              0.0066256,              0.0066256
                      3,                0.91151,                 1.6386,                0.96995,                0.55324,                0.53536,                0.55583,                0.42767,                0.81686,                 1.5591,                 1.0705,              0.0098929,              0.0098929,              0.0098929
                      4,                 0.9313,                 1.5504,                0.99719,                0.66995,                0.55313,                0.61637,                0.45785,                0.86841,                  1.411,                 1.0955,              0.0098515,              0.0098515,              0.0098515
                      5,                0.90184,                 1.3174,                0.99964,                0.64109,                0.60373,                0.66666,                0.52691,                0.79265,                 1.2398,                 1.0566,               0.009802,               0.009802,               0.009802
                      6,                0.85995,                 1.1668,                0.97832,                0.70042,                0.66212,                0.71963,                0.57822,                0.75804,                  1.168,                 1.0805,              0.0097525,              0.0097525,              0.0097525
                      7,                0.84337,                 1.0626,                0.97589,                0.78566,                0.67017,                0.77296,                0.63528,                0.70312,                 1.0209,                 1.0478,               0.009703,               0.009703,               0.009703
                      8,                0.82806,                0.98047,                0.97091,                0.75066,                0.69374,                0.74603,                0.61331,                0.68521,                 1.1179,                 1.0225,              0.0096535,              0.0096535,              0.0096535
                      9,                 0.8082,                0.93778,                0.96332,                0.79944,                0.71093,                0.79978,                0.65649,                0.69161,                0.90681,                 1.0498,               0.009604,               0.009604,               0.009604
                     10,                0.78754,                0.87516,                0.95719,                0.86139,                0.73009,                0.83797,                0.69196,                0.68252,                0.87908,                 1.0382,              0.0095545,              0.0095545,              0.0095545
                     11,                0.77371,                0.85723,                0.95493,                0.84239,                0.73287,                0.83359,                0.69024,                0.66606,                0.87116,                 1.0301,               0.009505,               0.009505,               0.009505
                     12,                0.77114,                  0.824,                0.95247,                0.79503,                0.76737,                0.81979,                0.68768,                0.65326,                0.96293,                 1.0247,              0.0094555,              0.0094555,              0.0094555
                     13,                0.75303,                0.79004,                  0.942,                0.85793,                 0.7339,                0.80859,                0.65983,                0.74222,                 1.0075,                 1.0924,               0.009406,               0.009406,               0.009406
                     14,                0.75357,                0.78065,                0.94522,                0.83727,                0.77981,                 0.8387,                 0.6902,                 0.6954,                0.82391,                  1.072,              0.0093565,              0.0093565,              0.0093565
                     15,                0.74188,                0.75532,                  0.942,                0.87594,                0.74646,                0.84173,                0.71022,                0.63334,                0.84069,                 1.0058,               0.009307,               0.009307,               0.009307
                     16,                0.72824,                0.72335,                 0.9349,                0.87424,                0.75008,                0.84876,                0.71915,                0.62533,                0.73012,                 1.0167,              0.0092575,              0.0092575,              0.0092575
