                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.23721,                0.18875,                0.77146,                0.97414,                0.91721,                0.96452,                0.94023,                0.42929,                0.69981,                0.79207,              0.0033269,              0.0033269,              0.0033269
                      2,                0.26402,                0.21012,                0.77424,                0.97438,                0.91999,                0.96675,                0.94244,                0.43606,                0.68414,                0.79197,              0.0065943,              0.0065943,              0.0065943
                      3,                0.29676,                0.23232,                0.77765,                0.97412,                0.91718,                0.96568,                0.94023,                0.43354,                 0.6681,                0.79533,              0.0097957,              0.0097957,              0.0097957
                      4,                0.32229,                0.26619,                0.78202,                0.96991,                0.90843,                  0.962,                0.93321,                0.44613,                0.66618,                0.80026,               0.009703,               0.009703,               0.009703
                      5,                0.32013,                 0.2683,                0.78181,                0.97542,                0.91089,                0.96503,                0.93438,                0.45376,                0.64765,                0.80178,               0.009604,               0.009604,               0.009604
                      6,                0.31887,                0.26848,                0.78096,                0.97044,                0.91032,                0.96248,                 0.9366,                0.43773,                0.68929,                0.80134,               0.009505,               0.009505,               0.009505
                      7,                0.31648,                0.26867,                0.78124,                0.96114,                0.91882,                 0.9626,                0.93551,                0.43895,                0.67643,                 0.8016,               0.009406,               0.009406,               0.009406
                      8,                0.31657,                0.26709,                0.78085,                0.97113,                0.90649,                0.95902,                0.93021,                0.43374,                0.70815,                 0.7944,               0.009307,               0.009307,               0.009307
                      9,                 0.3127,                0.26626,                0.78027,                0.97245,                0.91654,                0.96405,                0.93555,                0.44313,                0.61611,                0.80096,               0.009208,               0.009208,               0.009208
                     10,                0.31222,                0.26582,                0.78072,                0.96725,                0.91079,                 0.9619,                0.92951,                0.45837,                0.63368,                0.79885,               0.009109,               0.009109,               0.009109
                     11,                0.30993,                0.26379,                0.78038,                0.97168,                0.91922,                  0.966,                0.93588,                0.44117,                0.65222,                0.79335,                0.00901,                0.00901,                0.00901
                     12,                0.30887,                 0.2641,                0.78008,                0.97551,                0.91897,                0.96463,                0.93703,                0.43317,                0.64231,                0.79526,               0.008911,               0.008911,               0.008911
                     13,                0.30705,                0.26206,                0.77948,                0.97528,                0.91808,                0.96481,                0.93642,                0.44817,                0.61604,                0.80097,               0.008812,               0.008812,               0.008812
                     14,                0.30721,                0.26033,                0.78001,                 0.9715,                0.92135,                0.96365,                 0.9353,                0.43435,                0.63327,                0.79696,               0.008713,               0.008713,               0.008713
                     15,                0.30593,                0.26107,                0.78011,                0.97975,                0.91794,                0.96489,                0.93864,                 0.4404,                0.61974,                  0.802,               0.008614,               0.008614,               0.008614
