                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.82058,                 2.6719,                0.83908,                0.30032,                 0.4692,                0.35327,                 0.3018,                0.66237,                 1.3518,                 0.8165,              0.0033267,              0.0033267,              0.0033267
                      2,                0.73891,                 1.2231,                0.83038,                0.72579,                0.76637,                 0.7891,                0.68829,                0.59069,                0.82403,                0.81731,               0.006627,               0.006627,               0.006627
                      3,                0.73201,                0.90806,                0.82938,                0.90357,                0.85996,                0.92876,                0.81799,                0.56447,                 0.6521,                0.81134,              0.0098944,              0.0098944,              0.0098944
                      4,                0.66651,                0.73397,                0.81903,                0.93349,                0.89224,                0.95324,                0.85615,                0.51307,                0.53842,                0.80059,              0.0098515,              0.0098515,              0.0098515
                      5,                0.59519,                0.62094,                0.80674,                0.93605,                0.89937,                0.95815,                0.87298,                0.48315,                0.52721,                0.79499,               0.009802,               0.009802,               0.009802
                      6,                  0.561,                0.54911,                0.80168,                0.95282,                0.91411,                0.96649,                0.88595,                0.46693,                0.47328,                  0.793,              0.0097525,              0.0097525,              0.0097525
                      7,                0.53611,                0.50452,                0.79805,                0.95579,                0.91105,                0.96642,                0.89265,                0.44709,                0.45665,                 0.7893,               0.009703,               0.009703,               0.009703
                      8,                0.51514,                0.47046,                0.79589,                0.95672,                0.92564,                0.97056,                0.90237,                0.43743,                0.43839,                0.78855,              0.0096535,              0.0096535,              0.0096535
                      9,                0.49812,                0.44311,                0.79396,                0.96258,                0.92789,                0.97289,                0.90948,                0.41759,                0.41624,                0.78659,               0.009604,               0.009604,               0.009604
                     10,                0.48752,                0.42281,                0.79213,                0.96719,                0.94081,                0.97609,                0.91266,                0.41244,                0.39112,                 0.7843,              0.0095545,              0.0095545,              0.0095545
                     11,                0.47621,                  0.409,                0.79079,                0.96852,                0.93298,                0.97544,                0.91692,                0.40432,                0.40298,                0.78584,               0.009505,               0.009505,               0.009505
                     12,                0.46734,                0.39499,                0.78922,                 0.9712,                0.94352,                0.97904,                0.92311,                0.39373,                0.37536,                 0.7823,              0.0094555,              0.0094555,              0.0094555
                     13,                0.46005,                0.38692,                0.78881,                0.97616,                0.94268,                0.97928,                0.92688,                0.38832,                0.36846,                0.78226,               0.009406,               0.009406,               0.009406
                     14,                0.45422,                0.37858,                0.78778,                0.97313,                0.94808,                0.97979,                0.92906,                0.38277,                0.36482,                0.78221,              0.0093565,              0.0093565,              0.0093565
                     15,                0.44628,                0.37101,                0.78753,                0.97109,                0.94839,                0.98048,                0.93036,                0.37928,                0.36334,                 0.7807,               0.009307,               0.009307,               0.009307
                     16,                0.44031,                0.36103,                0.78636,                0.97687,                0.94794,                0.98116,                0.93398,                0.37406,                0.34534,                0.78034,              0.0092575,              0.0092575,              0.0092575
                     17,                0.43676,                0.36028,                0.78625,                0.97863,                0.94975,                0.98141,                0.93544,                0.36985,                0.34879,                 0.7796,               0.009208,               0.009208,               0.009208
                     18,                0.43214,                0.35338,                0.78591,                0.97992,                0.95425,                0.98292,                0.93775,                0.36319,                 0.3382,                0.77855,              0.0091585,              0.0091585,              0.0091585
                     19,                0.42872,                0.34872,                0.78497,                0.97998,                0.95042,                0.98239,                0.93999,                0.36367,                0.34129,                0.77902,               0.009109,               0.009109,               0.009109
                     20,                0.42312,                0.34515,                 0.7849,                0.97979,                0.95305,                0.98252,                0.94024,                0.36125,                0.33967,                0.77917,              0.0090595,              0.0090595,              0.0090595
                     21,                0.42077,                0.33987,                0.78473,                0.97768,                0.95356,                0.98243,                0.94201,                0.35514,                0.34456,                0.77871,                0.00901,                0.00901,                0.00901
                     22,                0.41605,                0.33499,                0.78368,                 0.9818,                0.95703,                0.98349,                0.94452,                0.35277,                0.34117,                0.77844,              0.0089605,              0.0089605,              0.0089605
                     23,                0.41186,                0.33346,                0.78352,                0.97946,                0.95826,                0.98336,                0.94503,                0.35092,                0.32985,                0.77732,               0.008911,               0.008911,               0.008911
                     24,                0.40811,                0.32684,                0.78317,                0.98271,                0.95687,                0.98394,                0.94619,                0.34522,                0.32935,                 0.7771,              0.0088615,              0.0088615,              0.0088615
                     25,                0.40869,                0.32689,                0.78316,                0.98304,                0.95853,                0.98389,                0.94796,                0.34216,                0.32942,                0.77645,               0.008812,               0.008812,               0.008812
                     26,                0.40382,                0.32307,                0.78237,                0.98498,                0.95729,                0.98393,                0.94871,                 0.3406,                0.32841,                0.77707,              0.0087625,              0.0087625,              0.0087625
                     27,                0.40129,                0.32124,                0.78189,                0.98449,                0.96019,                0.98507,                0.94979,                0.33893,                0.31641,                0.77684,               0.008713,               0.008713,               0.008713
                     28,                0.39881,                0.31959,                0.78128,                0.98593,                0.95819,                0.98439,                0.95047,                0.33669,                0.32346,                0.77613,              0.0086635,              0.0086635,              0.0086635
                     29,                0.39808,                0.31801,                0.78159,                0.98614,                0.96017,                0.98485,                 0.9522,                0.33418,                 0.3172,                 0.7768,               0.008614,               0.008614,               0.008614
                     30,                0.39433,                0.31283,                0.78133,                 0.9844,                0.96117,                0.98522,                0.95271,                0.33223,                  0.315,                0.77559,              0.0085645,              0.0085645,              0.0085645
                     31,                0.39134,                0.31016,                  0.781,                 0.9872,                0.95766,                0.98526,                0.95335,                0.33152,                0.31624,                0.77599,               0.008515,               0.008515,               0.008515
                     32,                0.39009,                0.30809,                0.78078,                0.98607,                0.96175,                0.98593,                0.95382,                0.33061,                0.30284,                0.77583,              0.0084655,              0.0084655,              0.0084655
                     33,                0.38854,                0.30875,                0.78047,                0.98283,                0.96258,                0.98534,                0.95385,                0.32794,                0.31382,                0.77544,               0.008416,               0.008416,               0.008416
                     34,                0.38677,                0.30665,                0.78087,                 0.9846,                0.96365,                0.98531,                0.95419,                0.32808,                0.30749,                0.77515,              0.0083665,              0.0083665,              0.0083665
                     35,                0.38434,                0.30411,                0.78003,                0.98481,                0.96192,                0.98516,                0.95503,                0.32714,                0.31098,                0.77578,               0.008317,               0.008317,               0.008317
                     36,                0.38305,                0.30131,                0.78037,                0.98739,                0.96097,                0.98538,                0.95537,                 0.3249,                0.30864,                0.77572,              0.0082675,              0.0082675,              0.0082675
                     37,                0.38138,                0.30082,                0.77944,                0.98613,                0.96367,                0.98564,                0.95643,                0.32236,                0.30652,                0.77497,               0.008218,               0.008218,               0.008218
                     38,                0.37975,                0.29984,                 0.7796,                0.98715,                0.96218,                0.98576,                 0.9563,                 0.3208,                0.29915,                0.77438,              0.0081685,              0.0081685,              0.0081685
                     39,                  0.378,                0.29879,                0.77953,                 0.9858,                 0.9635,                0.98573,                0.95655,                0.31813,                0.30192,                0.77402,               0.008119,               0.008119,               0.008119
                     40,                0.37717,                0.29547,                0.77934,                 0.9866,                0.96475,                0.98617,                0.95807,                0.31783,                 0.2998,                0.77379,              0.0080695,              0.0080695,              0.0080695
                     41,                0.37646,                0.29588,                0.77987,                0.98478,                0.96585,                0.98577,                0.95755,                0.31759,                0.30017,                0.77368,                0.00802,                0.00802,                0.00802
                     42,                0.37465,                0.29351,                0.77992,                0.98531,                 0.9653,                0.98578,                0.95802,                0.31495,                0.29928,                0.77367,              0.0079705,              0.0079705,              0.0079705
                     43,                0.37362,                0.29426,                0.77908,                0.98441,                0.96676,                0.98593,                0.95824,                0.31534,                 0.2992,                 0.7738,               0.007921,               0.007921,               0.007921
                     44,                0.37224,                0.29072,                0.77911,                0.98657,                0.96563,                0.98619,                0.95928,                 0.3139,                0.29688,                0.77382,              0.0078715,              0.0078715,              0.0078715
                     45,                0.37218,                0.28896,                0.77956,                0.98546,                0.96678,                0.98634,                0.96015,                0.31298,                0.29616,                0.77371,               0.007822,               0.007822,               0.007822
                     46,                0.36946,                0.28868,                0.77901,                0.98815,                 0.9632,                0.98628,                0.95992,                0.31277,                 0.2986,                0.77385,              0.0077725,              0.0077725,              0.0077725
                     47,                0.36723,                0.28898,                0.77862,                0.98889,                0.96362,                0.98622,                0.96006,                0.31361,                0.29811,                0.77418,               0.007723,               0.007723,               0.007723
                     48,                0.36766,                0.28782,                0.77868,                0.98874,                0.96392,                0.98614,                0.95988,                0.31306,                0.29765,                0.77406,              0.0076735,              0.0076735,              0.0076735
                     49,                0.36533,                0.28504,                0.77786,                 0.9876,                0.96589,                0.98611,                0.96005,                0.31263,                0.29831,                0.77391,               0.007624,               0.007624,               0.007624
                     50,                0.36225,                 0.2835,                0.77847,                0.98652,                0.96731,                0.98626,                0.96064,                0.31119,                 0.2969,                0.77362,              0.0075745,              0.0075745,              0.0075745
                     51,                0.36325,                0.28241,                0.77801,                0.98714,                0.96686,                0.98625,                0.96089,                0.31043,                0.29638,                0.77359,               0.007525,               0.007525,               0.007525
                     52,                0.36289,                0.28183,                0.77864,                0.98769,                0.96641,                 0.9863,                 0.9614,                0.31022,                  0.295,                0.77362,              0.0074755,              0.0074755,              0.0074755
                     53,                0.36092,                0.28075,                0.77802,                0.98768,                0.96621,                0.98655,                0.96165,                0.31009,                0.29493,                0.77378,               0.007426,               0.007426,               0.007426
                     54,                0.36094,                0.28007,                0.77841,                0.98776,                0.96637,                0.98666,                0.96208,                0.30924,                0.29334,                0.77358,              0.0073765,              0.0073765,              0.0073765
                     55,                 0.3596,                0.27847,                 0.7781,                0.98647,                0.96667,                0.98675,                0.96203,                0.30809,                0.29268,                0.77342,               0.007327,               0.007327,               0.007327
                     56,                0.35689,                0.27639,                0.77744,                0.98761,                0.96627,                0.98687,                0.96263,                0.30781,                0.29254,                0.77342,              0.0072775,              0.0072775,              0.0072775
                     57,                0.35633,                0.27664,                0.77758,                0.98688,                0.96747,                 0.9869,                 0.9632,                0.30669,                0.29215,                0.77312,               0.007228,               0.007228,               0.007228
                     58,                0.35755,                0.27616,                 0.7774,                0.98685,                0.96781,                0.98691,                0.96333,                0.30605,                0.29117,                0.77284,              0.0071785,              0.0071785,              0.0071785
                     59,                0.35575,                0.27594,                0.77715,                0.98606,                0.96872,                0.98689,                0.96309,                0.30564,                0.29132,                0.77274,               0.007129,               0.007129,               0.007129
                     60,                0.35491,                0.27588,                0.77751,                0.98669,                0.96817,                0.98691,                0.96335,                 0.3053,                0.29132,                0.77288,              0.0070795,              0.0070795,              0.0070795
                     61,                0.35306,                0.27412,                0.77661,                0.98744,                0.96731,                 0.9869,                0.96336,                0.30521,                0.29167,                0.77294,                0.00703,                0.00703,                0.00703
                     62,                0.35247,                0.27374,                 0.7767,                 0.9874,                0.96755,                0.98692,                0.96353,                0.30463,                0.29126,                0.77287,              0.0069805,              0.0069805,              0.0069805
                     63,                0.35157,                0.27194,                0.77772,                0.98704,                0.96837,                0.98696,                0.96344,                0.30471,                0.29113,                0.77282,               0.006931,               0.006931,               0.006931
                     64,                0.35127,                0.27228,                0.77689,                0.98776,                0.96741,                0.98698,                0.96346,                0.30446,                0.29141,                0.77279,              0.0068815,              0.0068815,              0.0068815
                     65,                0.34963,                0.27195,                0.77717,                0.98824,                0.96708,                0.98699,                 0.9636,                0.30432,                0.29085,                0.77274,               0.006832,               0.006832,               0.006832
                     66,                  0.349,                0.26962,                0.77694,                0.98847,                0.96676,                0.98702,                0.96375,                0.30395,                0.29012,                 0.7727,              0.0067825,              0.0067825,              0.0067825
                     67,                0.34884,                0.26998,                 0.7764,                0.98839,                0.96661,                0.98706,                0.96377,                0.30351,                0.28958,                0.77264,               0.006733,               0.006733,               0.006733
                     68,                0.34766,                0.26808,                0.77642,                0.98873,                 0.9667,                0.98712,                0.96378,                0.30321,                 0.2893,                0.77259,              0.0066835,              0.0066835,              0.0066835
                     69,                  0.346,                0.26734,                0.77661,                0.98853,                0.96692,                0.98715,                0.96404,                  0.303,                0.28871,                0.77249,               0.006634,               0.006634,               0.006634
                     70,                0.34409,                0.26626,                0.77613,                0.98874,                0.96665,                0.98713,                0.96411,                0.30266,                0.28841,                 0.7724,              0.0065845,              0.0065845,              0.0065845
                     71,                0.34557,                 0.2669,                0.77674,                0.98885,                0.96666,                0.98714,                0.96397,                0.30262,                0.28849,                0.77241,               0.006535,               0.006535,               0.006535
                     72,                0.34375,                0.26538,                0.77625,                0.98837,                0.96722,                0.98714,                 0.9643,                0.30223,                0.28858,                0.77241,              0.0064855,              0.0064855,              0.0064855
                     73,                0.34255,                0.26364,                0.77603,                0.98852,                0.96731,                0.98718,                0.96436,                 0.3017,                0.28825,                0.77244,               0.006436,               0.006436,               0.006436
                     74,                0.34223,                0.26315,                0.77668,                0.98851,                0.96717,                0.98719,                0.96444,                0.30148,                0.28787,                0.77245,              0.0063865,              0.0063865,              0.0063865
                     75,                0.34101,                 0.2628,                0.77613,                0.98787,                0.96776,                0.98721,                0.96448,                0.30125,                0.28762,                0.77243,               0.006337,               0.006337,               0.006337
                     76,                0.34032,                0.26195,                0.77619,                0.98826,                 0.9673,                0.98725,                0.96473,                0.30085,                0.28742,                0.77243,              0.0062875,              0.0062875,              0.0062875
                     77,                0.33798,                 0.2606,                0.77567,                0.98796,                0.96774,                0.98726,                0.96474,                0.30074,                0.28742,                0.77239,               0.006238,               0.006238,               0.006238
                     78,                0.33804,                0.26042,                0.77578,                0.98821,                0.96751,                0.98728,                  0.965,                 0.3006,                0.28736,                0.77239,              0.0061885,              0.0061885,              0.0061885
                     79,                0.33896,                0.26159,                0.77618,                0.98873,                0.96743,                 0.9873,                  0.965,                 0.3004,                0.28719,                0.77235,               0.006139,               0.006139,               0.006139
                     80,                0.33643,                0.25785,                0.77567,                0.98878,                0.96753,                0.98732,                0.96505,                0.30016,                0.28695,                0.77233,              0.0060895,              0.0060895,              0.0060895
                     81,                0.33367,                0.25658,                 0.7757,                0.98872,                0.96778,                0.98734,                0.96524,                0.29976,                0.28709,                0.77214,                0.00604,                0.00604,                0.00604
