                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.47355,                0.54712,                0.79178,                0.93509,                0.89063,                0.95599,                0.89012,                 0.4019,                0.38982,                0.78155,             7.3063e-05,             7.3063e-05,             7.3063e-05
                      2,                0.46744,                0.50925,                0.78828,                0.93348,                0.91227,                0.96094,                0.89354,                0.40134,                 0.3716,                0.78111,             0.00013978,             0.00013978,             0.00013978
                      3,                0.46736,                0.51005,                0.78726,                0.92981,                 0.9073,                0.96157,                0.89076,                0.41331,                0.38234,                0.78232,             0.00019918,             0.00019918,             0.00019918
                      4,                0.46518,                0.49788,                0.78817,                 0.9356,                0.90556,                0.96306,                0.89423,                0.40742,                0.38524,                0.78203,             0.00018903,             0.00018903,             0.00018903
                      5,                0.46957,                0.49541,                 0.7866,                0.93327,                0.89183,                0.95708,                0.89049,                0.40281,                0.39688,                0.78072,             0.00017804,             0.00017804,             0.00017804
                      6,                0.45623,                  0.478,                0.78669,                0.94322,                0.91472,                0.96493,                0.89559,                0.40799,                0.36577,                0.78271,             0.00016705,             0.00016705,             0.00016705
                      7,                 0.4555,                0.47553,                0.78733,                0.95199,                0.90122,                0.96481,                0.89861,                0.39809,                0.36517,                0.78093,             0.00015607,             0.00015607,             0.00015607
                      8,                0.45439,                0.46863,                0.78585,                0.94753,                0.90061,                0.96277,                0.89594,                0.39635,                0.36853,                0.78031,             0.00014508,             0.00014508,             0.00014508
                      9,                0.45153,                0.46234,                0.78705,                0.95742,                0.90701,                0.96593,                0.90235,                0.39348,                 0.3538,                0.78092,             0.00013409,             0.00013409,             0.00013409
                     10,                0.45255,                0.45012,                0.78635,                 0.9483,                0.91502,                0.96579,                0.90335,                0.39393,                0.34725,                0.78098,              0.0001231,              0.0001231,              0.0001231
                     11,                0.42354,                0.42838,                0.78285,                0.93673,                0.89315,                0.95836,                0.88845,                0.41809,                0.38711,                 0.7827,             0.00011211,             0.00011211,             0.00011211
                     12,                0.41689,                0.40728,                0.78259,                0.95932,                0.89911,                0.96388,                0.89824,                0.40284,                0.36265,                 0.7816,             0.00010112,             0.00010112,             0.00010112
                     13,                0.40957,                0.40136,                0.78282,                0.94664,                0.90934,                0.96494,                0.89923,                0.39813,                0.36006,                0.78115,             9.0132e-05,             9.0132e-05,             9.0132e-05
                     14,                0.40823,                0.39491,                0.78111,                0.94221,                0.90644,                0.96331,                0.89254,                0.41117,                0.36359,                0.78193,             7.9143e-05,             7.9143e-05,             7.9143e-05
                     15,                0.40309,                0.38188,                0.78013,                0.95019,                0.90907,                0.96503,                0.90057,                0.39671,                0.34925,                0.78116,             6.8154e-05,             6.8154e-05,             6.8154e-05
                     16,                0.40143,                0.37886,                0.78024,                0.94438,                0.91226,                 0.9642,                0.90232,                 0.3958,                0.35374,                0.78162,             5.7165e-05,             5.7165e-05,             5.7165e-05
                     17,                0.39543,                0.37208,                0.77915,                0.94725,                0.90938,                0.96528,                0.90417,                 0.3902,                0.34775,                0.78067,             4.6176e-05,             4.6176e-05,             4.6176e-05
                     18,                0.39101,                0.36494,                0.78112,                0.94966,                0.91057,                0.96497,                0.90374,                0.39101,                0.34545,                0.78065,             3.5187e-05,             3.5187e-05,             3.5187e-05
                     19,                0.38476,                0.35416,                0.77873,                0.95357,                0.91396,                0.96655,                0.90639,                0.38641,                0.33742,                 0.7802,             2.4198e-05,             2.4198e-05,             2.4198e-05
                     20,                0.38407,                 0.3533,                0.78011,                0.95797,                0.91088,                0.96687,                0.90687,                0.38478,                0.33297,                0.77984,             1.3209e-05,             1.3209e-05,             1.3209e-05
